purpose_scrubbed,amount(thousands)
Event,2132.2109600000003
Food,145.05451000000002
Legal,168.016
Lodging,881.4613700000017
Other,95.71655999999999
Payroll,424.61582999999973
Rent,2956.588
Travel,9282.248450000001
